City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
661,Palaikastron,GR,61.75,overcast clouds,35.2,26.25,Marina Village
663,Port Macquarie,AU,71.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
666,Panji,ID,76.01,overcast clouds,-7.7253,114.0995,Rumah andre
668,Asosa,ET,69.73,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
669,Lae,PG,78.64,overcast clouds,-6.7221,146.9847,Phils Hotel
670,Gold Coast,AU,75.24,light intensity shower rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
671,Pastos Bons,BR,79.09,overcast clouds,-6.6017,-44.0767,Área de lazer casa (Pucina)
676,Darnah,LY,64.89,scattered clouds,32.767,22.6367,فندق الفردوس
683,Acari,PE,73.06,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
691,Alice Springs,AU,60.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
695,Sehithwa,BW,78.75,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
697,Ayacucho,PE,66.06,scattered clouds,-13.1583,-74.2239,Hotel Incasol
702,Houston,US,77.18,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
708,Nouadhibou,MR,78.78,overcast clouds,20.931,-17.0347,El Medina
